idPartido,temporada,division,jornada,EquipoLocal,EquipoVisitante,golesLocal,golesVisitante,fecha,timestamp,Victoria
1,1970-71,1,1,Atletico de Bilbao,Barcelona,1,1,12/09/1970,21938400,Empate
2,1970-71,1,1,Las Palmas,Atletico de Madrid,1,1,12/09/1970,21938400,Empate
3,1970-71,1,1,Real Madrid,Valencia,2,0,12/09/1970,21938400,Local
4,1970-71,1,1,Celta de Vigo,Sporting de Gijon,2,0,13/09/1970,22024800,Local
5,1970-71,1,1,Elche,Granada,1,1,13/09/1970,22024800,Empate
6,1970-71,1,1,Espanol,Sevilla,0,1,13/09/1970,22024800,Visitante
7,1970-71,1,1,Sabadell,Real Sociedad,0,0,13/09/1970,22024800,Empate
8,1970-71,1,1,Zaragoza,CD Malaga,0,0,13/09/1970,22024800,Empate
9,1970-71,1,2,Valencia,Las Palmas,5,1,19/09/1970,22543200,Local
10,1970-71,1,2,Atletico de Madrid,Atletico de Bilbao,2,0,20/09/1970,22629600,Local
11,1970-71,1,2,Barcelona,Zaragoza,5,2,20/09/1970,22629600,Local
12,1970-71,1,2,Sporting de Gijon,Sabadell,3,2,20/09/1970,22629600,Local
13,1970-71,1,2,Granada,Espanol,1,0,20/09/1970,22629600,Local
14,1970-71,1,2,CD Malaga,Celta de Vigo,2,1,20/09/1970,22629600,Local
15,1970-71,1,2,Real Sociedad,Elche,2,0,20/09/1970,22629600,Local
16,1970-71,1,2,Sevilla,Real Madrid,3,1,20/09/1970,22629600,Local
17,1970-71,1,3,Las Palmas,Atletico de Bilbao,1,1,26/09/1970,23148000,Empate
18,1970-71,1,3,Real Madrid,Granada,3,2,26/09/1970,23148000,Local
19,1970-71,1,3,Valencia,Sevilla,0,1,26/09/1970,23148000,Visitante
20,1970-71,1,3,Celta de Vigo,Barcelona,1,1,27/09/1970,23234400,Empate
21,1970-71,1,3,Elche,Sporting de Gijon,5,0,27/09/1970,23234400,Local
22,1970-71,1,3,Espanol,Real Sociedad,0,0,27/09/1970,23234400,Empate
23,1970-71,1,3,Sabadell,CD Malaga,5,2,27/09/1970,23234400,Local
24,1970-71,1,3,Zaragoza,Atletico de Madrid,0,1,27/09/1970,23234400,Visitante
25,1970-71,1,4,Atletico de Bilbao,Zaragoza,3,0,04/10/1970,23839200,Local
26,1970-71,1,4,Atletico de Madrid,Celta de Vigo,3,1,04/10/1970,23839200,Local
27,1970-71,1,4,Barcelona,Sabadell,4,1,04/10/1970,23839200,Local
28,1970-71,1,4,Sporting de Gijon,Espanol,0,1,04/10/1970,23839200,Visitante
29,1970-71,1,4,Granada,Valencia,2,2,04/10/1970,23839200,Empate
30,1970-71,1,4,Las Palmas,Sevilla,0,0,04/10/1970,23839200,Empate
31,1970-71,1,4,CD Malaga,Elche,1,0,04/10/1970,23839200,Local
32,1970-71,1,4,Real Sociedad,Real Madrid,0,0,04/10/1970,23839200,Empate
33,1970-71,1,5,Celta de Vigo,Atletico de Bilbao,2,1,11/10/1970,24444000,Local
34,1970-71,1,5,Elche,Barcelona,0,1,11/10/1970,24444000,Visitante
35,1970-71,1,5,Espanol,CD Malaga,1,1,11/10/1970,24444000,Empate
36,1970-71,1,5,Real Madrid,Sporting de Gijon,1,1,11/10/1970,24444000,Empate
37,1970-71,1,5,Sabadell,Atletico de Madrid,0,2,11/10/1970,24444000,Visitante
38,1970-71,1,5,Sevilla,Granada,1,0,11/10/1970,24444000,Local
39,1970-71,1,5,Valencia,Real Sociedad,0,0,11/10/1970,24444000,Empate
40,1970-71,1,5,Zaragoza,Las Palmas,1,1,11/10/1970,24444000,Empate
