ID,Folio,Tipo Documento,Cancelada,DocStatus,Tipo Documento,Corfirmada,TransaccionID,Fecha Creacion,Fecha Detalle,productoID,Producto,Cantidad,Precio,Moneda,Monto,VendedorID,Vendedor,CategoriaID,Categoria,ProveedorID,Proveedor,clienteID,Cliente,Direccion Cliente
1,1,13,Not Cancelled,Closed,Factura,Y,365,00:00.0,00:00.0,A00001,IBM Infoprint 1312,5,107460.05,MXP,537300.25,-1,Gerente de Ventas,101,Impresoras J.B.,3,J.B.,C20000,Norm Thompson,"300 Billings Drive   Suite 500  Mexico D.F.,19083, DF MX"
1,1,13,Not Cancelled,Closed,Factura,Y,365,00:00.0,00:00.0,A00002,IBM Infoprint 1222,5,53730.03,MXP,268650.15,-1,Gerente de Ventas,101,Impresoras J.B.,3,J.B.,C20000,Norm Thompson,"300 Billings Drive   Suite 500  Mexico D.F.,19083, DF MX"
1,1,13,Not Cancelled,Closed,Factura,Y,365,00:00.0,00:00.0,A00003,IBM Infoprint 1226,5,80594.93,MXP,402974.65,-1,Gerente de Ventas,101,Impresoras J.B.,3,J.B.,C20000,Norm Thompson,"300 Billings Drive   Suite 500  Mexico D.F.,19083, DF MX"
1,1,13,Not Cancelled,Closed,Factura,Y,365,00:00.0,00:00.0,A00004,HP Color Laser Jet 5,5,134324.96,MXP,671624.8,-1,Gerente de Ventas,102,Impresoras Rainbow,2,Rainbow,C20000,Norm Thompson,"300 Billings Drive   Suite 500  Mexico D.F.,19083, DF MX"
1,1,13,Not Cancelled,Closed,Factura,Y,365,00:00.0,00:00.0,A00005,HP Color Laser Jet 4,5,107460.05,MXP,537300.25,-1,Gerente de Ventas,102,Impresoras Rainbow,2,Rainbow,C20000,Norm Thompson,"300 Billings Drive   Suite 500  Mexico D.F.,19083, DF MX"
2,2,13,Not Cancelled,Closed,Factura,Y,366,00:00.0,00:00.0,A00006,HP 600 Series Inc,5,153514.36,MXP,767571.8,-1,Bill Levine,102,Impresoras Rainbow,2,Rainbow,C30000,Microchips,"45th Street   Suite 100  Mexico D.F.,10010, DF MX"
2,2,13,Not Cancelled,Closed,Factura,Y,366,00:00.0,00:00.0,B10000,Printer Label,200,383.9,MXP,76780,-1,Bill Levine,100,Artículos,5,LeMon,C30000,Microchips,"45th Street   Suite 100  Mexico D.F.,10010, DF MX"
3,3,13,Not Cancelled,Closed,Factura,Y,367,00:00.0,00:00.0,S10000,Server Point 10000,5,566467.89,MXP,2832339.45,-1,Sofia Klogg,104,Servidores,1,I-Tech,C40000,Earthshaker Corporation,"208 Hollywood Ave     Mexico D.F.,95030, DF MX"
4,4,13,Not Cancelled,Closed,Factura,Y,368,00:00.0,00:00.0,C00001,Motherboard P4 Turbo,6,107460.05,MXP,644760.3,-1,Brad Thompson,100,Artículos,8,A+ Electronics,C23900,Parameter Technology,"908 Darby Road     Mexico D.F.,19083, DF MX"
4,4,13,Not Cancelled,Closed,Factura,Y,368,00:00.0,00:00.0,A00003,IBM Infoprint 1226,6,80594.93,MXP,483569.58,-1,Brad Thompson,101,Impresoras J.B.,3,J.B.,C23900,Parameter Technology,"908 Darby Road     Mexico D.F.,19083, DF MX"
4,4,13,Not Cancelled,Closed,Factura,Y,368,00:00.0,00:00.0,LM4029MC,Memory Chip,10,13432.45,MXP,134324.5,-1,Brad Thompson,103,Accesorios,8,A+ Electronics,C23900,Parameter Technology,"908 Darby Road     Mexico D.F.,19083, DF MX"
5,5,13,Not Cancelled,Closed,Factura,Y,369,00:00.0,00:00.0,A00001,IBM Infoprint 1312,5,76757.18,MXP,383785.9,-1,Jim Boswick,101,Impresoras J.B.,3,J.B.,C42000,Mashina Corporation,"400 Range Road     Mexico D.F.,44113, DF MX"
5,5,13,Not Cancelled,Closed,Factura,Y,369,00:00.0,00:00.0,A00002,IBM Infoprint 1222,5,38378.59,MXP,191892.95,-1,Jim Boswick,101,Impresoras J.B.,3,J.B.,C42000,Mashina Corporation,"400 Range Road     Mexico D.F.,44113, DF MX"
5,5,13,Not Cancelled,Closed,Factura,Y,369,00:00.0,00:00.0,A00003,IBM Infoprint 1226,5,57567.81,MXP,287839.05,-1,Jim Boswick,101,Impresoras J.B.,3,J.B.,C42000,Mashina Corporation,"400 Range Road     Mexico D.F.,44113, DF MX"
5,5,13,Not Cancelled,Closed,Factura,Y,369,00:00.0,00:00.0,A00004,HP Color Laser Jet 5,5,95946.4,MXP,479732,-1,Jim Boswick,102,Impresoras Rainbow,2,Rainbow,C42000,Mashina Corporation,"400 Range Road     Mexico D.F.,44113, DF MX"
5,5,13,Not Cancelled,Closed,Factura,Y,369,00:00.0,00:00.0,A00005,HP Color Laser Jet 4,5,76757.18,MXP,383785.9,-1,Jim Boswick,102,Impresoras Rainbow,2,Rainbow,C42000,Mashina Corporation,"400 Range Road     Mexico D.F.,44113, DF MX"
5,5,13,Not Cancelled,Closed,Factura,Y,369,00:00.0,00:00.0,A00006,HP 600 Series Inc,5,76757.18,MXP,383785.9,-1,Jim Boswick,102,Impresoras Rainbow,2,Rainbow,C42000,Mashina Corporation,"400 Range Road     Mexico D.F.,44113, DF MX"
5,5,13,Not Cancelled,Closed,Factura,Y,369,00:00.0,00:00.0,P10001,PC - P4 2.4G DDR 512M 400G HD,2,272747.89,MXP,545495.78,-1,Jim Boswick,105,PCs,1,I-Tech,C42000,Mashina Corporation,"400 Range Road     Mexico D.F.,44113, DF MX"
6,6,13,Not Cancelled,Closed,Factura,Y,370,00:00.0,00:00.0,C00002,Motherboard P4 Turbo - Asus Chipset,10,115135.62,MXP,1151356.2,-1,Bill Levine,100,Artículos,8,A+ Electronics,C30000,Microchips,"45th Street   Suite 100  Mexico D.F.,10010, DF MX"
6,6,13,Not Cancelled,Closed,Factura,Y,370,00:00.0,00:00.0,C00010,Mouse USB,20,7675.8,MXP,153516,-1,Bill Levine,100,Artículos,4,PCM,C30000,Microchips,"45th Street   Suite 100  Mexico D.F.,10010, DF MX"
6,6,13,Not Cancelled,Closed,Factura,Y,370,00:00.0,00:00.0,C00011,Memory DDR RAM 512 MB,20,15351.32,MXP,307026.4,-1,Bill Levine,100,Artículos,8,A+ Electronics,C30000,Microchips,"45th Street   Suite 100  Mexico D.F.,10010, DF MX"
6,6,13,Not Cancelled,Closed,Factura,Y,370,00:00.0,00:00.0,C00008,Monitor 19' TFT,10,76757.18,MXP,767571.8,-1,Bill Levine,100,Artículos,8,A+ Electronics,C30000,Microchips,"45th Street   Suite 100  Mexico D.F.,10010, DF MX"
6,6,13,Not Cancelled,Closed,Factura,Y,370,00:00.0,00:00.0,C00009,Keyboard Comfort USB,15,7675.8,MXP,115137,-1,Bill Levine,100,Artículos,8,A+ Electronics,C30000,Microchips,"45th Street   Suite 100  Mexico D.F.,10010, DF MX"
7,7,13,Not Cancelled,Closed,Factura,Y,371,00:00.0,00:00.0,A00002,IBM Infoprint 1222,10,61405.74,MXP,614057.4,-1,Sofia Klogg,101,Impresoras J.B.,3,J.B.,C40000,Earthshaker Corporation,"208 Hollywood Ave     Mexico D.F.,95030, DF MX"
7,7,13,Not Cancelled,Closed,Factura,Y,371,00:00.0,00:00.0,A00003,IBM Infoprint 1226,10,92108.5,MXP,921085,-1,Sofia Klogg,101,Impresoras J.B.,3,J.B.,C40000,Earthshaker Corporation,"208 Hollywood Ave     Mexico D.F.,95030, DF MX"
7,7,13,Not Cancelled,Closed,Factura,Y,371,00:00.0,00:00.0,P10002,PC - P4 2.4G DDR 1024M 400G HD,2,417974.69,MXP,835949.38,-1,Sofia Klogg,105,PCs,1,I-Tech,C40000,Earthshaker Corporation,"208 Hollywood Ave     Mexico D.F.,95030, DF MX"
8,8,13,Not Cancelled,Closed,Factura,Y,372,00:00.0,00:00.0,A00006,HP 600 Series Inc,10,107460.05,MXP,1074600.5,-1,Gerente de Ventas,102,Impresoras Rainbow,2,Rainbow,C20000,Norm Thompson,"300 Billings Drive   Suite 500  Mexico D.F.,19083, DF MX"
8,8,13,Not Cancelled,Closed,Factura,Y,372,00:00.0,00:00.0,B10000,Printer Label,400,268.73,MXP,107492,-1,Gerente de Ventas,100,Artículos,5,LeMon,C20000,Norm Thompson,"300 Billings Drive   Suite 500  Mexico D.F.,19083, DF MX"
9,9,13,Not Cancelled,Closed,Factura,Y,373,00:00.0,00:00.0,A00001,IBM Infoprint 1312,8,107460.05,MXP,859680.4,-1,Brad Thompson,101,Impresoras J.B.,3,J.B.,C23900,Parameter Technology,"908 Darby Road     Mexico D.F.,19083, DF MX"
9,9,13,Not Cancelled,Closed,Factura,Y,373,00:00.0,00:00.0,A00003,IBM Infoprint 1226,8,80594.93,MXP,644759.44,-1,Brad Thompson,101,Impresoras J.B.,3,J.B.,C23900,Parameter Technology,"908 Darby Road     Mexico D.F.,19083, DF MX"
9,9,13,Not Cancelled,Closed,Factura,Y,373,00:00.0,00:00.0,LM4029MC,Memory Chip,20,13432.45,MXP,268649,-1,Brad Thompson,103,Accesorios,8,A+ Electronics,C23900,Parameter Technology,"908 Darby Road     Mexico D.F.,19083, DF MX"
10,10,13,Not Cancelled,Closed,Factura,Y,374,00:00.0,00:00.0,S10000,Server Point 10000,5,708084.86,MXP,3540424.3,-1,Bill Levine,104,Servidores,1,I-Tech,C50000,ADA Technologies,"34 Highway 6   Suite 300  Mexico D.F.,3102, DF MX"
10,10,13,Not Cancelled,Closed,Factura,Y,374,00:00.0,00:00.0,P10003,PC Set 1,5,115265.62,MXP,576328.1,-1,Bill Levine,105,PCs,1,I-Tech,C50000,ADA Technologies,"34 Highway 6   Suite 300  Mexico D.F.,3102, DF MX"
10,10,13,Not Cancelled,Closed,Factura,Y,374,00:00.0,00:00.0,P10004,PC Set 2,5,192022.8,MXP,960114,-1,Bill Levine,100,Artículos,1,I-Tech,C50000,ADA Technologies,"34 Highway 6   Suite 300  Mexico D.F.,3102, DF MX"
11,11,13,Not Cancelled,Closed,Factura,Y,375,00:00.0,00:00.0,C00003,Intel P4 2.4 GhZ,10,39913.73,MXP,399137.3,-1,Jim Boswick,100,Artículos,4,PCM,C60000,SG Electronics,67 Grant Ave Toronto  M4B 1B3 CANADA
11,11,13,Not Cancelled,Closed,Factura,Y,375,00:00.0,00:00.0,C00009,Keyboard Comfort USB,20,6140.64,MXP,122812.8,-1,Jim Boswick,100,Artículos,8,A+ Electronics,C60000,SG Electronics,67 Grant Ave Toronto  M4B 1B3 CANADA
11,11,13,Not Cancelled,Closed,Factura,Y,375,00:00.0,00:00.0,C00008,Monitor 19' TFT,20,61405.74,MXP,1228114.8,-1,Jim Boswick,100,Artículos,8,A+ Electronics,C60000,SG Electronics,67 Grant Ave Toronto  M4B 1B3 CANADA
11,11,13,Not Cancelled,Closed,Factura,Y,375,00:00.0,00:00.0,C00007,Hard Disk Seagate 400 GB,10,153514.24,MXP,1535142.4,-1,Jim Boswick,100,Artículos,1,I-Tech,C60000,SG Electronics,67 Grant Ave Toronto  M4B 1B3 CANADA
11,11,13,Not Cancelled,Closed,Factura,Y,375,00:00.0,00:00.0,C00006,Network Card10/100,15,4605.49,MXP,69082.35,-1,Jim Boswick,100,Artículos,1,I-Tech,C60000,SG Electronics,67 Grant Ave Toronto  M4B 1B3 CANADA
12,12,13,Not Cancelled,Closed,Factura,Y,376,00:00.0,00:00.0,A00006,HP 600 Series Inc,20,122811.49,MXP,2456229.8,-1,Brad Thompson,102,Impresoras Rainbow,2,Rainbow,C70000,Aquent Systems,123 Kathryn Ave Montreal  H7B 2A5 CANADA
12,12,13,Not Cancelled,Closed,Factura,Y,376,00:00.0,00:00.0,B10000,Printer Label,100,307.12,MXP,30712,-1,Brad Thompson,100,Artículos,5,LeMon,C70000,Aquent Systems,123 Kathryn Ave Montreal  H7B 2A5 CANADA
12,12,13,Not Cancelled,Closed,Factura,Y,376,00:00.0,00:00.0,A00001,IBM Infoprint 1312,10,122811.49,MXP,1228114.9,-1,Brad Thompson,101,Impresoras J.B.,3,J.B.,C70000,Aquent Systems,123 Kathryn Ave Montreal  H7B 2A5 CANADA
12,12,13,Not Cancelled,Closed,Factura,Y,376,00:00.0,00:00.0,A00003,IBM Infoprint 1226,10,92108.5,MXP,921085,-1,Brad Thompson,101,Impresoras J.B.,3,J.B.,C70000,Aquent Systems,123 Kathryn Ave Montreal  H7B 2A5 CANADA
12,12,13,Not Cancelled,Closed,Factura,Y,376,00:00.0,00:00.0,LM4029MC,Memory Chip,20,15351.38,MXP,307027.6,-1,Brad Thompson,103,Accesorios,8,A+ Electronics,C70000,Aquent Systems,123 Kathryn Ave Montreal  H7B 2A5 CANADA
